Index, Original Porosity, Generated Porosity
398,0.197472,0.193251
399,0.197472,0.192163
408,0.202240,0.201405
409,0.202240,0.200768
410,0.202240,0.204288
411,0.202240,0.200089
420,0.202240,0.202247
421,0.202240,0.197824
422,0.202240,0.205185
423,0.202240,0.202173
432,0.189562,0.188968
433,0.189562,0.188060
434,0.189562,0.188369
435,0.189562,0.187198
444,0.189562,0.185796
445,0.189562,0.183451
446,0.189562,0.183490
447,0.189562,0.184400
456,0.196899,0.180499
457,0.196899,0.185992
458,0.196899,0.183032
459,0.196899,0.185404
468,0.196899,0.187119
469,0.196899,0.186784
470,0.196899,0.192706
471,0.196899,0.191950
480,0.186036,0.188477
481,0.186036,0.188561
482,0.186036,0.186722
483,0.186036,0.186828
492,0.186036,0.188588
493,0.186036,0.188431
494,0.186036,0.187800
495,0.186036,0.188447
504,0.193637,0.190110
505,0.193637,0.191590
506,0.193637,0.185151
507,0.193637,0.185667
516,0.193637,0.191418
517,0.193637,0.192499
518,0.193637,0.183061
519,0.193637,0.184437
528,0.197755,0.191297
529,0.197755,0.189286
530,0.197755,0.185526
531,0.197755,0.189761
540,0.197755,0.183409
541,0.197755,0.191061
542,0.197755,0.185861
543,0.197755,0.187329
552,0.192589,0.189653
553,0.192589,0.191712
554,0.192589,0.194125
555,0.192589,0.194744
564,0.192589,0.188785
565,0.192589,0.187894
566,0.192589,0.192553
567,0.192589,0.194365
576,0.195174,0.193083
577,0.195174,0.192991
578,0.195174,0.196200
579,0.195174,0.196572
588,0.195174,0.193156
589,0.195174,0.191445
590,0.195174,0.196685
591,0.195174,0.195541
600,0.200100,0.196206
601,0.200100,0.197812
602,0.200100,0.194345
603,0.200100,0.193433
612,0.200100,0.201880
613,0.200100,0.200511
614,0.200100,0.195899
615,0.200100,0.199303
624,0.180811,0.182074
625,0.180811,0.182685
626,0.180811,0.180784
627,0.180811,0.177466
636,0.180811,0.181653
637,0.180811,0.182341
638,0.180811,0.176491
639,0.180811,0.177861
648,0.193040,0.194490
649,0.193040,0.195571
650,0.193040,0.193390
651,0.193040,0.195153
660,0.193040,0.195332
661,0.193040,0.196200
662,0.193040,0.194565
663,0.193040,0.195740
672,0.190987,0.189785
673,0.190987,0.186221
674,0.190987,0.184684
675,0.190987,0.180393
684,0.190987,0.185827
685,0.190987,0.181646
686,0.190987,0.178674
687,0.190987,0.180294
696,0.203965,0.200601
697,0.203965,0.206280
698,0.203965,0.200858
699,0.203965,0.206193
708,0.203965,0.200562
709,0.203965,0.206797
710,0.203965,0.199280
711,0.203965,0.205727
720,0.203141,0.192651
721,0.203141,0.203427
722,0.203141,0.196505
723,0.203141,0.204606
732,0.203141,0.193133
733,0.203141,0.202511
734,0.203141,0.191164
735,0.203141,0.200883
744,0.190115,0.192790
745,0.190115,0.191765
746,0.190115,0.193140
747,0.190115,0.192954
756,0.190115,0.192733
757,0.190115,0.192616
758,0.190115,0.192025
759,0.190115,0.192696
768,0.183776,0.176756
769,0.183776,0.184647
770,0.183776,0.184341
771,0.183776,0.182108
780,0.183776,0.185445
781,0.183776,0.185170
782,0.183776,0.182375
783,0.183776,0.181190
792,0.203184,0.205986
793,0.203184,0.206310
794,0.203184,0.205912
795,0.203184,0.205739
804,0.203184,0.206125
805,0.203184,0.205589
806,0.203184,0.205041
807,0.203184,0.205746
816,0.198128,0.179357
817,0.198128,0.185173
818,0.198128,0.181431
819,0.198128,0.182900
828,0.198128,0.185982
829,0.198128,0.189772
830,0.198128,0.181311
831,0.198128,0.182075
840,0.193124,0.192699
841,0.193124,0.195116
842,0.193124,0.193209
843,0.193124,0.191983
852,0.193124,0.193932
853,0.193124,0.195602
854,0.193124,0.191828
855,0.193124,0.193234
864,0.197893,0.190400
865,0.197893,0.196985
866,0.197893,0.189642
867,0.197893,0.196556
876,0.197893,0.194128
877,0.197893,0.199405
878,0.197893,0.193088
879,0.197893,0.197325
888,0.183656,0.175867
889,0.183656,0.185107
890,0.183656,0.185344
891,0.183656,0.184598
900,0.183656,0.186186
901,0.183656,0.185782
902,0.183656,0.182389
903,0.183656,0.183670
912,0.189063,0.190167
913,0.189063,0.185637
914,0.189063,0.190089
915,0.189063,0.189095
924,0.189063,0.185020
925,0.189063,0.184447
926,0.189063,0.189012
927,0.189063,0.190632
936,0.195428,0.198385
937,0.195428,0.198028
938,0.195428,0.197888
939,0.195428,0.198463
948,0.195428,0.198433
949,0.195428,0.198161
950,0.195428,0.198432
951,0.195428,0.197253
960,0.192749,0.195322
961,0.192749,0.194846
962,0.192749,0.195901
963,0.192749,0.195041
972,0.192749,0.194162
973,0.192749,0.195757
974,0.192749,0.195161
975,0.192749,0.195351
0,0.187853,0.185803
1,0.187853,0.182445
2,0.187853,0.188936
3,0.187853,0.186662
16,0.187853,0.184594
17,0.187853,0.181847
18,0.187853,0.188793
19,0.187853,0.186486
32,0.195299,0.188408
33,0.195299,0.192281
34,0.195299,0.196083
35,0.195299,0.195918
48,0.195299,0.193591
49,0.195299,0.192286
50,0.195299,0.196247
51,0.195299,0.197773
64,0.193782,0.196160
65,0.193782,0.195769
66,0.193782,0.195692
67,0.193782,0.195620
80,0.193782,0.195282
81,0.193782,0.196248
82,0.193782,0.195907
83,0.193782,0.195460
96,0.196459,0.198005
97,0.196459,0.198922
98,0.196459,0.197379
99,0.196459,0.198293
112,0.196459,0.195487
113,0.196459,0.197648
114,0.196459,0.196602
115,0.196459,0.197972
128,0.196539,0.199258
129,0.196539,0.199114
130,0.196539,0.198499
131,0.196539,0.199492
144,0.196539,0.199165
145,0.196539,0.199947
146,0.196539,0.198967
147,0.196539,0.198981
160,0.192424,0.190823
161,0.192424,0.190800
162,0.192424,0.191721
163,0.192424,0.190910
176,0.192424,0.189099
177,0.192424,0.189216
178,0.192424,0.188607
179,0.192424,0.191910
192,0.203135,0.201908
193,0.203135,0.196406
194,0.203135,0.203648
195,0.203135,0.200615
208,0.203135,0.202779
209,0.203135,0.200998
210,0.203135,0.204925
211,0.203135,0.202307
224,0.186301,0.183581
225,0.186301,0.180840
226,0.186301,0.180121
227,0.186301,0.185463
240,0.186301,0.185642
241,0.186301,0.181902
242,0.186301,0.177704
243,0.186301,0.180979
256,0.194753,0.195162
257,0.194753,0.196234
258,0.194753,0.195897
259,0.194753,0.196357
272,0.194753,0.196321
273,0.194753,0.196759
274,0.194753,0.197331
275,0.194753,0.196456
288,0.201839,0.203964
289,0.201839,0.203415
290,0.201839,0.202296
291,0.201839,0.203341
304,0.201839,0.200135
305,0.201839,0.202433
306,0.201839,0.199967
307,0.201839,0.200289
320,0.197633,0.197655
321,0.197633,0.198861
322,0.197633,0.195434
323,0.197633,0.197033
336,0.197633,0.198086
337,0.197633,0.199036
338,0.197633,0.198367
339,0.197633,0.198904
352,0.192757,0.195476
353,0.192757,0.195945
354,0.192757,0.195374
355,0.192757,0.195210
368,0.192757,0.195119
369,0.192757,0.194719
370,0.192757,0.195534
371,0.192757,0.195616
384,0.200058,0.190968
385,0.200058,0.198660
386,0.200058,0.191566
387,0.200058,0.180679
400,0.200058,0.189596
401,0.200058,0.196982
402,0.200058,0.188104
403,0.200058,0.199340
416,0.198202,0.191958
417,0.198202,0.197312
418,0.198202,0.192310
419,0.198202,0.199066
432,0.198202,0.193406
433,0.198202,0.195292
434,0.198202,0.196030
435,0.198202,0.196184
448,0.195439,0.184556
449,0.195439,0.183919
450,0.195439,0.182963
451,0.195439,0.182361
464,0.195439,0.183469
465,0.195439,0.182737
466,0.195439,0.185042
467,0.195439,0.178428
480,0.201508,0.190994
481,0.201508,0.192495
482,0.201508,0.191712
483,0.201508,0.197034
496,0.201508,0.191906
497,0.201508,0.192324
498,0.201508,0.194450
499,0.201508,0.196209
512,0.197472,0.189184
513,0.197472,0.188406
514,0.197472,0.195573
515,0.197472,0.195715
528,0.197472,0.188265
529,0.197472,0.189439
530,0.197472,0.192358
531,0.197472,0.192598
544,0.202240,0.203981
545,0.202240,0.198141
546,0.202240,0.203912
547,0.202240,0.201186
560,0.202240,0.203379
561,0.202240,0.196139
562,0.202240,0.204680
563,0.202240,0.201844
576,0.189562,0.190551
577,0.189562,0.186016
578,0.189562,0.190376
579,0.189562,0.186040
592,0.189562,0.187225
593,0.189562,0.185430
594,0.189562,0.186818
595,0.189562,0.186177
608,0.196899,0.178524
609,0.196899,0.183309
610,0.196899,0.184803
611,0.196899,0.185936
624,0.196899,0.182008
625,0.196899,0.188645
626,0.196899,0.190590
627,0.196899,0.192263
640,0.186036,0.188592
641,0.186036,0.188640
642,0.186036,0.188286
643,0.186036,0.187050
656,0.186036,0.187837
657,0.186036,0.188138
658,0.186036,0.189218
659,0.186036,0.187712
672,0.193637,0.187984
673,0.193637,0.192470
674,0.193637,0.185371
675,0.193637,0.184259
688,0.193637,0.191939
689,0.193637,0.191205
690,0.193637,0.183725
691,0.193637,0.185438
