Index, Original Porosity, Generated Porosity
85,0.173836,0.173344
86,0.173836,0.169358
87,0.173836,0.174234
96,0.286036,0.283476
97,0.286036,0.283071
98,0.286036,0.282019
99,0.286036,0.281798
108,0.286036,0.281927
109,0.286036,0.283421
110,0.286036,0.281832
111,0.286036,0.282896
120,0.211059,0.204397
121,0.211059,0.204108
122,0.211059,0.206261
123,0.211059,0.209005
132,0.211059,0.202589
133,0.211059,0.196981
134,0.211059,0.204194
135,0.211059,0.206778
144,0.297288,0.293147
145,0.297288,0.291056
146,0.297288,0.291926
147,0.297288,0.293592
156,0.297288,0.267814
157,0.297288,0.284604
158,0.297288,0.293373
159,0.297288,0.291528
168,0.224228,0.218569
169,0.224228,0.218580
170,0.224228,0.207932
171,0.224228,0.208012
180,0.224228,0.203587
181,0.224228,0.181975
182,0.224228,0.193433
183,0.224228,0.188157
192,0.332874,0.319077
193,0.332874,0.324632
194,0.332874,0.324366
195,0.332874,0.327209
204,0.332874,0.326602
205,0.332874,0.276675
206,0.332874,0.284269
207,0.332874,0.326443
216,0.285784,0.282317
217,0.285784,0.279763
218,0.285784,0.281685
219,0.285784,0.279662
228,0.285784,0.274574
229,0.285784,0.260922
230,0.285784,0.267642
231,0.285784,0.279150
240,0.285790,0.280500
241,0.285790,0.281076
242,0.285790,0.278873
243,0.285790,0.281543
252,0.285790,0.269851
253,0.285790,0.280212
254,0.285790,0.236550
255,0.285790,0.278680
264,0.234096,0.232794
265,0.234096,0.232701
266,0.234096,0.233045
267,0.234096,0.233029
276,0.234096,0.232383
277,0.234096,0.232894
278,0.234096,0.232866
279,0.234096,0.231430
288,0.209679,0.146044
289,0.209679,0.205416
290,0.209679,0.135473
291,0.209679,0.201577
300,0.209679,0.178807
301,0.209679,0.204197
302,0.209679,0.135349
303,0.209679,0.206974
312,0.228809,0.165464
313,0.228809,0.209855
314,0.228809,0.149919
315,0.228809,0.199857
324,0.228809,0.203490
325,0.228809,0.226992
326,0.228809,0.174168
327,0.228809,0.225718
336,0.329865,0.110742
337,0.329865,0.259880
338,0.329865,0.271476
339,0.329865,0.293689
348,0.329865,0.224087
349,0.329865,0.247404
350,0.329865,0.273237
351,0.329865,0.263380
360,0.262251,0.236527
361,0.262251,0.248943
362,0.262251,0.246349
363,0.262251,0.191704
372,0.262251,0.230618
373,0.262251,0.257231
374,0.262251,0.227925
375,0.262251,0.258176
384,0.162057,0.160727
385,0.162057,0.154815
386,0.162057,0.161552
387,0.162057,0.160925
396,0.162057,0.139627
397,0.162057,0.143576
398,0.162057,0.158782
399,0.162057,0.137888
408,0.300999,0.273634
409,0.300999,0.295782
410,0.300999,0.297032
411,0.300999,0.296865
420,0.300999,0.294825
421,0.300999,0.293876
422,0.300999,0.226150
423,0.300999,0.294931
432,0.315188,0.281154
433,0.315188,0.296129
434,0.315188,0.303649
435,0.315188,0.304438
444,0.315188,0.296602
445,0.315188,0.288093
446,0.315188,0.289168
447,0.315188,0.295414
456,0.315617,0.262166
457,0.315617,0.286448
458,0.315617,0.263470
459,0.315617,0.256952
468,0.315617,0.277873
469,0.315617,0.190283
470,0.315617,0.288696
471,0.315617,0.137493
480,0.292800,0.288652
481,0.292800,0.286189
482,0.292800,0.289233
483,0.292800,0.284840
492,0.292800,0.149935
493,0.292800,0.288335
494,0.292800,0.288132
495,0.292800,0.283704
504,0.272944,0.255609
505,0.272944,0.265081
506,0.272944,0.258101
507,0.272944,0.255629
516,0.272944,0.264985
517,0.272944,0.117313
518,0.272944,0.256558
519,0.272944,0.260592
528,0.180836,0.108437
529,0.180836,0.168751
530,0.180836,0.164776
531,0.180836,0.177031
540,0.180836,0.132589
541,0.180836,0.163329
542,0.180836,0.171807
543,0.180836,0.176543
552,0.222065,0.220444
553,0.222065,0.198977
554,0.222065,0.195858
555,0.222065,0.153578
564,0.222065,0.221508
565,0.222065,0.220965
566,0.222065,0.220502
567,0.222065,0.200605
576,0.198742,0.196508
577,0.198742,0.188605
578,0.198742,0.199167
579,0.198742,0.194556
588,0.198742,0.195965
589,0.198742,0.197848
590,0.198742,0.198594
591,0.198742,0.195372
600,0.262167,0.253265
601,0.262167,0.257597
602,0.262167,0.258403
603,0.262167,0.256410
612,0.262167,0.258529
613,0.262167,0.228070
614,0.262167,0.251080
615,0.262167,0.177932
624,0.227340,0.221993
625,0.227340,0.224467
626,0.227340,0.220895
627,0.227340,0.223965
636,0.227340,0.222622
637,0.227340,0.222768
638,0.227340,0.216773
639,0.227340,0.217400
648,0.238398,0.205016
649,0.238398,0.230342
650,0.238398,0.192334
651,0.238398,0.236942
660,0.238398,0.235881
661,0.238398,0.167305
662,0.238398,0.214225
663,0.238398,0.237391
672,0.279845,0.274509
673,0.279845,0.257596
674,0.279845,0.259174
675,0.279845,0.265703
684,0.279845,0.227038
685,0.279845,0.230805
686,0.279845,0.236141
687,0.279845,0.245395
696,0.238639,0.235537
697,0.238639,0.143178
698,0.238639,0.231476
699,0.238639,0.204768
708,0.238639,0.219214
709,0.238639,0.218866
710,0.238639,0.223417
711,0.238639,0.237679
720,0.220048,0.202346
721,0.220048,0.217728
722,0.220048,0.143420
723,0.220048,0.219524
732,0.220048,0.165595
733,0.220048,0.211666
734,0.220048,0.200421
735,0.220048,0.209737
744,0.290747,0.287271
745,0.290747,0.286655
746,0.290747,0.287084
747,0.290747,0.286762
756,0.290747,0.287485
757,0.290747,0.287408
758,0.290747,0.287265
759,0.290747,0.287636
768,0.286859,0.248832
769,0.286859,0.282543
770,0.286859,0.280168
771,0.286859,0.281087
780,0.286859,0.104940
781,0.286859,0.283233
782,0.286859,0.277278
783,0.286859,0.280059
792,0.254615,0.252794
793,0.254615,0.253458
794,0.254615,0.252693
795,0.254615,0.250955
804,0.254615,0.252033
805,0.254615,0.253087
806,0.254615,0.252446
807,0.254615,0.252109
816,0.266696,0.251588
817,0.266696,0.206835
818,0.266696,0.243480
819,0.266696,0.242022
828,0.266696,0.190561
829,0.266696,0.144007
830,0.266696,0.236739
831,0.266696,0.248056
840,0.265376,0.254090
841,0.265376,0.164941
842,0.265376,0.253228
843,0.265376,0.239143
852,0.265376,0.246174
853,0.265376,0.246222
854,0.265376,0.250758
855,0.265376,0.259416
864,0.264348,0.258734
865,0.264348,0.257847
866,0.264348,0.261365
867,0.264348,0.261381
876,0.264348,0.259621
877,0.264348,0.262363
878,0.264348,0.217358
879,0.264348,0.257410
888,0.287023,0.282899
889,0.287023,0.283943
890,0.287023,0.282852
891,0.287023,0.283397
900,0.287023,0.284474
901,0.287023,0.284015
902,0.287023,0.277918
903,0.287023,0.280694
912,0.240438,0.232323
913,0.240438,0.236783
914,0.240438,0.236162
915,0.240438,0.210804
924,0.240438,0.238502
925,0.240438,0.235654
926,0.240438,0.239137
927,0.240438,0.194868
936,0.250574,0.245796
937,0.250574,0.248490
938,0.250574,0.248113
939,0.250574,0.247914
948,0.250574,0.234544
949,0.250574,0.247318
950,0.250574,0.243225
951,0.250574,0.248066
960,0.286564,0.282255
961,0.286564,0.281084
962,0.286564,0.283080
963,0.286564,0.282028
972,0.286564,0.283149
973,0.286564,0.282684
974,0.286564,0.282889
975,0.286564,0.277267
0,0.193069,0.190452
1,0.193069,0.190942
2,0.193069,0.189095
3,0.193069,0.137902
16,0.193069,0.179864
17,0.193069,0.179140
18,0.193069,0.190895
19,0.193069,0.190184
32,0.282032,0.273071
33,0.282032,0.238015
34,0.282032,0.273367
35,0.282032,0.277245
48,0.282032,0.270928
49,0.282032,0.229172
50,0.282032,0.278491
51,0.282032,0.278255
64,0.318214,0.312024
65,0.318214,0.308982
66,0.318214,0.313438
67,0.318214,0.311916
80,0.318214,0.287105
81,0.318214,0.310521
82,0.318214,0.300781
83,0.318214,0.307057
96,0.173836,0.146008
97,0.173836,0.173948
98,0.173836,0.157428
99,0.173836,0.174199
112,0.173836,0.168859
113,0.173836,0.173894
114,0.173836,0.171096
115,0.173836,0.174336
128,0.286036,0.283467
129,0.286036,0.282696
130,0.286036,0.268406
131,0.286036,0.283286
144,0.286036,0.273705
145,0.286036,0.282803
146,0.286036,0.283280
147,0.286036,0.257798
160,0.211059,0.203915
161,0.211059,0.206447
162,0.211059,0.203285
163,0.211059,0.208418
176,0.211059,0.200425
177,0.211059,0.192011
178,0.211059,0.201808
179,0.211059,0.203514
192,0.297288,0.295109
193,0.297288,0.291538
194,0.297288,0.293218
195,0.297288,0.291608
208,0.297288,0.292908
209,0.297288,0.292399
210,0.297288,0.153013
211,0.297288,0.289916
224,0.224228,0.215665
225,0.224228,0.217983
226,0.224228,0.207824
227,0.224228,0.173446
240,0.224228,0.206550
241,0.224228,0.186807
242,0.224228,0.200515
243,0.224228,0.197005
256,0.332874,0.325801
257,0.332874,0.323864
258,0.332874,0.320885
259,0.332874,0.327069
272,0.332874,0.285191
273,0.332874,0.252595
274,0.332874,0.325848
275,0.332874,0.325045
288,0.285784,0.280511
289,0.285784,0.282361
290,0.285784,0.283274
291,0.285784,0.269608
304,0.285784,0.274157
305,0.285784,0.270360
306,0.285784,0.270591
307,0.285784,0.272311
320,0.285790,0.270315
321,0.285790,0.278750
322,0.285790,0.279260
323,0.285790,0.281773
336,0.285790,0.178649
337,0.285790,0.281715
338,0.285790,0.237015
339,0.285790,0.282038
352,0.234096,0.232783
353,0.234096,0.232661
354,0.234096,0.231967
355,0.234096,0.231994
368,0.234096,0.232320
369,0.234096,0.230043
370,0.234096,0.231751
371,0.234096,0.232377
384,0.209679,0.181104
385,0.209679,0.165055
386,0.209679,0.147847
387,0.209679,0.171598
400,0.209679,0.172684
401,0.209679,0.206036
402,0.209679,0.145650
403,0.209679,0.207235
416,0.228809,0.155089
417,0.228809,0.226907
418,0.228809,0.147964
419,0.228809,0.223273
432,0.228809,0.202673
433,0.228809,0.225850
434,0.228809,0.212248
435,0.228809,0.203397
448,0.329865,0.118834
449,0.329865,0.202196
450,0.329865,0.227736
451,0.329865,0.293533
464,0.329865,0.258238
465,0.329865,0.211554
466,0.329865,0.232418
467,0.329865,0.248663
480,0.262251,0.228175
481,0.262251,0.232942
482,0.262251,0.250693
483,0.262251,0.254757
496,0.262251,0.230653
497,0.262251,0.251234
498,0.262251,0.225809
499,0.262251,0.259889
512,0.162057,0.159817
513,0.162057,0.158236
514,0.162057,0.158067
515,0.162057,0.134123
528,0.162057,0.142410
529,0.162057,0.142369
530,0.162057,0.153799
531,0.162057,0.132060
544,0.300999,0.263984
545,0.300999,0.289809
546,0.300999,0.295421
547,0.300999,0.295038
560,0.300999,0.292988
561,0.300999,0.290771
562,0.300999,0.260330
563,0.300999,0.294200
576,0.315188,0.306785
577,0.315188,0.283753
578,0.315188,0.307810
579,0.315188,0.295112
592,0.315188,0.304722
593,0.315188,0.266598
594,0.315188,0.290361
595,0.315188,0.286911
608,0.315617,0.262791
609,0.315617,0.266242
610,0.315617,0.279916
611,0.315617,0.251358
624,0.315617,0.269271
625,0.315617,0.225372
626,0.315617,0.297441
627,0.315617,0.117876
640,0.292800,0.289207
641,0.292800,0.287858
642,0.292800,0.290210
643,0.292800,0.284818
656,0.292800,0.262905
657,0.292800,0.288422
658,0.292800,0.242602
